"","Work","Constant","HusbandInc","EducYears","ExpYears","ExpYears2","Age","NSmallChild","NBigChild"
"63",1,1,12.99996,15,16,2.56,45,0,1
"64",1,1,14.69999,12,16,2.56,47,0,1
"65",1,1,20.95005,17,29,8.41,54,0,1
"66",0,1,18.15,12,3,0.09,49,0,0
"67",0,1,11,7,2,0.04,49,0,1
"68",1,1,17.09,12,11,1.21,33,2,0
"69",0,1,19.237,12,23,5.29,52,0,0
"70",0,1,20,15,6,0.36,54,0,0
"71",0,1,18.2,12,1,0.01,47,0,1
"72",1,1,25.08999,17,8,0.64,40,1,2
"73",1,1,70.74993,16,11,1.21,48,0,1
"74",0,1,33.856,14,10,1,54,0,0
"75",0,1,13.35,12,10,1,47,0,0
"76",1,1,15.59088,10,10,1,30,0,1
"77",1,1,13.29497,12,18,3.24,47,0,0
"78",0,1,28.9,16,8,0.64,48,0,1
"79",1,1,6.49084,16,25,6.25,54,0,0
"80",1,1,20.6,14,12,1.44,30,0,0
"81",0,1,17.41,9,10,1,37,1,3
"82",0,1,14.5,12,8,0.64,32,1,1
"83",1,1,16.14195,16,11,1.21,54,0,1
"84",1,1,34.857,12,3,0.09,54,0,0
"85",0,1,6,12,5,0.25,36,0,2
"86",1,1,26,16,31,9.61,59,0,0
"87",1,1,18.19998,10,2,0.04,36,0,5
"88",1,1,9.020008,10,1,0.01,32,0,2
"89",0,1,25.1,12,0,0,30,1,1
"90",0,1,45.25,14,7,0.49,31,1,2
"91",1,1,17.02005,15,11,1.21,33,1,1
"92",1,1,17.774,12,9,0.81,45,0,2
"93",1,1,15.5,12,11,1.21,34,0,0
"94",0,1,12,12,1,0.01,30,0,3
"95",0,1,8,12,1,0.01,49,0,0
"96",1,1,15.05,11,4,0.16,32,0,1
"97",0,1,10.592,8,2,0.04,58,0,0
"98",1,1,26.09008,12,14,1.96,47,0,0
"99",0,1,34,12,8,0.64,37,0,1
"100",0,1,12.092,12,3,0.09,31,1,0
"101",1,1,14.00001,12,16,2.56,34,0,1
"102",1,1,24.7,14,6,0.36,56,0,0
"103",0,1,22.846,12,9,0.81,36,0,2
"104",0,1,14,12,25,6.25,43,0,1
"105",1,1,6.016024,13,11,1.21,49,0,1
"106",0,1,12.1,12,9,0.81,30,2,0
"107",0,1,23.26,12,4,0.16,46,0,0
"108",0,1,51,16,1,0.01,41,0,2
"109",0,1,18.4,10,0,0,42,0,2
"110",1,1,12.82494,12,22,4.84,45,0,1
"111",1,1,46.64506,12,12,1.44,47,0,0
"112",0,1,31.7,13,6,0.36,42,0,1
"113",0,1,12.09,8,1,0.01,51,0,0
"114",0,1,17.505,12,24,5.76,53,0,1
"115",1,1,9.56,12,15,2.25,45,0,0
"116",1,1,41.39991,16,9,0.81,47,0,1
"117",0,1,10.04,7,20,4,54,0,0
"118",1,1,13.392,7,13,1.69,48,0,3
"119",1,1,19.8,17,7,0.49,34,1,1
"120",1,1,27.99995,12,23,5.29,46,0,0
"121",1,1,28.8,12,24,5.76,52,0,0
"122",1,1,10.49998,8,11,1.21,48,0,0
"123",0,1,8.63,12,0,0,49,0,0
"124",1,1,9.5,8,17,2.89,52,0,0
"125",0,1,11.225,12,0,0,50,0,0
"126",0,1,13.399,12,8,0.64,49,0,1
"127",1,1,9.46604,13,2,0.04,31,0,1
"128",0,1,14.45,12,18,3.24,54,0,2
"129",1,1,9.99998,11,4,0.16,37,0,3
"130",1,1,10.99998,14,11,1.21,32,0,0
"131",1,1,13.73191,12,27,7.29,51,0,1
"132",1,1,13.7,14,12,1.44,30,2,1
"133",0,1,20.3,12,5,0.25,44,0,1
"134",1,1,6.799996,12,6,0.36,34,0,3
"135",1,1,12.70897,11,19,3.61,37,0,3
"136",1,1,17.479,13,18,3.24,48,0,0
"137",1,1,19.50005,17,28,7.84,49,0,0
"138",0,1,15.825,9,3,0.09,42,0,2
"139",1,1,18.49995,12,14,1.96,32,0,0
"140",1,1,19.205,12,10,1,34,0,2
"141",0,1,21.014,12,6,0.36,51,0,1
"142",1,1,33.04997,17,12,1.44,50,0,1
"143",1,1,14.4,16,14,1.96,43,1,0
"144",1,1,9.645086,11,2,0.04,41,0,2
"145",1,1,13.87196,7,15,2.25,43,0,3
"146",1,1,9.620002,11,23,5.29,41,0,0
"147",1,1,32.34996,12,6,0.36,58,0,0
"148",1,1,8.274953,12,4,0.16,31,1,1
"149",1,1,3.670978,12,26,6.76,52,0,0
"150",0,1,50.3,15,1,0.01,32,1,1
"151",0,1,17.4,12,8,0.64,43,1,2
"152",0,1,21.7,12,12,1.44,45,0,1
"153",1,1,18.00004,9,13,1.69,31,0,3
"154",1,1,20.80007,17,10,1,34,0,0
"155",0,1,32.5,12,6,0.36,47,0,2
"156",1,1,11.62794,6,37,13.69,55,0,0
"157",0,1,18.75,10,10,1,51,0,1
"158",0,1,22,10,3,0.09,48,0,1
"159",0,1,29,16,11,1.21,33,1,1
"160",0,1,25.7,16,5,0.25,30,1,1
"161",0,1,18.01,14,3,0.09,35,1,2
"162",1,1,32.90003,12,9,0.81,40,0,1
"163",1,1,32.70001,17,6,0.36,47,0,0
"164",0,1,47.5,12,4,0.16,32,1,3
"165",1,1,7.199973,8,2,0.04,30,1,5
"166",1,1,17.07,16,15,2.25,37,0,0
"167",1,1,10.77504,12,24,5.76,45,0,0
"168",0,1,31.5,17,2,0.04,48,0,1
"169",1,1,13.49999,12,23,5.29,45,0,0
"170",0,1,30,10,1,0.01,45,0,0
"171",1,1,20.50002,12,14,1.96,54,0,0
"172",1,1,51.29963,17,17,2.89,44,0,1
"173",0,1,22.61,12,13,1.69,54,0,2
"174",0,1,17.97,11,10,1,48,0,1
"175",0,1,33.92,12,3,0.09,40,1,3
"176",1,1,25.6,12,12,1.44,32,0,1
"177",0,1,13.53,12,14,1.96,47,0,3
"178",0,1,18.874,14,10,1,44,2,3
"179",0,1,5,12,10,1,34,2,3
"180",1,1,23.60001,17,9,0.81,36,0,2
"181",0,1,11.895,9,17,2.89,43,0,0
"182",0,1,19.365,8,0,0,46,0,4
"183",1,1,11.20001,10,1,0.01,36,1,2
"184",0,1,16.476,12,7,0.49,59,0,0
"185",0,1,18.85,12,15,2.25,44,0,4
"186",0,1,25,12,10,1,47,0,0
"187",1,1,10.91006,12,14,1.96,32,1,0
"188",0,1,8.009,10,2,0.04,33,1,2
"189",0,1,27.85,13,15,2.25,43,1,1
"190",0,1,21.823,12,4,0.16,43,0,5
"191",1,1,25.07504,12,9,0.81,43,0,3
"192",1,1,27.79996,17,8,0.64,54,0,0
"193",0,1,20.2,13,7,0.49,53,0,0
"194",0,1,42.25,12,3,0.09,30,1,1
"195",0,1,73.6,13,3,0.09,31,3,1
"196",0,1,30.65,12,0,0,46,1,4
"197",1,1,28.20001,17,2,0.04,34,1,2
"198",0,1,13.39,12,3,0.09,44,0,1
"199",0,1,14.55,12,15,2.25,43,0,2
"200",0,1,12.646,10,7,0.49,47,0,0
